gene	edgeR.pval.unadjusted	limma.pval.unadjusted	DESeq2.pval.unadjusted
ENSMUSG00000000001	0.334470650293891	0.336363214939208	0.26041546835764
ENSMUSG00000000028	0.928113127826243	0.505825922690483	0.749963643070148
ENSMUSG00000000037	0.602274520196223	0.158661919613037	0.643903867653767
ENSMUSG00000000049	0.454955512812247	0.0777744480032137	0.804827236620653
ENSMUSG00000000056	0.859366168547228	0.852957453651437	0.721291094363656
ENSMUSG00000000058	0.331301090749499	0.283214873794493	0.256691091606299
ENSMUSG00000000078	0.908798048355478	0.972717743222175	0.841209131036556
ENSMUSG00000000088	2.38230400284841e-05	0.000137706821171506	2.76903318064322e-05
ENSMUSG00000000093	0.303200256969192	0.284142771338416	0.263920361443919
ENSMUSG00000000094	9.5569661046876e-09	2.59038371397157e-08	4.71831592831411e-07
ENSMUSG00000000120	0.586158914464557	0.180843049235889	0.625094021849076
ENSMUSG00000000125	0.0113273282933304	0.0087948202157379	0.00935268365608547
ENSMUSG00000000126	0.129744454571533	0.150361153151699	0.202436346810161
ENSMUSG00000000127	0.836095336820353	0.991117478049427	0.819009550208284
ENSMUSG00000000131	0.00834236938226695	0.00395132340177321	0.000435119795323626
ENSMUSG00000000148	0.811599043661089	0.497118440495585	0.682957033988608
ENSMUSG00000000149	0.0827991977263361	0.0821833643819358	0.0648372491734957
ENSMUSG00000000154	0.601759288396191	0.49300408656862	0.529927389258558
ENSMUSG00000000157	1	0.978171778441698	0.975625981804641
ENSMUSG00000000159	0.11763627868349	0.0693177588730624	0.117038274255745
ENSMUSG00000000167	0.0759777228008928	0.0083818347996088	0.0813272192498305
ENSMUSG00000000168	0.00860638284749716	0.00599502804219518	0.00892156840810062
ENSMUSG00000000171	0.174661171996815	0.13082101380561	0.129006938325382
ENSMUSG00000000182	0.31030686223486	0.27452435182037	0.334044254333035
ENSMUSG00000000184	0.000173936866245635	0.000558321695696437	5.46770740838172e-05
ENSMUSG00000000197	0.64000245498593	0.54850720510631	0.49018446412685
ENSMUSG00000000202	0.995474966785343	0.825307751354621	0.875344926597537
ENSMUSG00000000204	0.59817407542996	0.620182096738281	0.801574620495699
ENSMUSG00000000215	0.57753093349301	0.220065198275871	0.701827611952147
ENSMUSG00000000216	1	0.490970361644252	0.905535003283969
ENSMUSG00000000223	0.223144893871014	0.184900464831262	0.222336708658093
ENSMUSG00000000247	0.782196415759976	0.629896131252282	0.688329157709531
ENSMUSG00000000253	0.215657910569843	0.380514186542747	0.235381534918398
ENSMUSG00000000263	0.0412707995230307	0.0841771095048359	0.0461564682896746
ENSMUSG00000000275	0.509069496784723	0.601100714743755	0.55339726823491
ENSMUSG00000000276	0.00122675523336865	0.000952801479490184	0.000110559452670054
ENSMUSG00000000278	0.228743254027071	0.243722879199741	0.180405893502511
ENSMUSG00000000282	0.379505441303481	0.470914644029568	0.424649850314655
ENSMUSG00000000290	0.319318360385818	0.436122852484398	0.31767272791007
ENSMUSG00000000296	0.00319277936193683	0.00436816978837439	0.00145002406518741
ENSMUSG00000000303	0.102704955187389	0.10534171280329	0.0730660279175342
ENSMUSG00000000317	0.689548600003767	0.98348293811098	0.548858250528056
ENSMUSG00000000320	1	0.911429918784283	0.950845781516212
ENSMUSG00000000326	4.20808732503157e-06	2.68864369453755e-05	1.58117846004444e-07
ENSMUSG00000000340	0.0139778502322059	0.0296127931431973	0.0137532548607746
ENSMUSG00000000346	0.296461775280702	0.296421554789432	0.21251429088054
ENSMUSG00000000365	0.829421337905454	0.66956659699753	0.79210498887218
ENSMUSG00000000374	0.277324882146651	0.183210704010967	0.173533862620299
ENSMUSG00000000385	1	0.756686534423516	0.860164921868816
ENSMUSG00000000386	1	0.703803327147967	0.860574279871624
ENSMUSG00000000394	0.045002762407298	0.0873134591447567	0.316270002493099
ENSMUSG00000000399	0.236884226932858	0.188409137309944	0.117206332854869
ENSMUSG00000000402	2.34316252815113e-13	3.23820707578907e-07	8.0754185657677e-13
ENSMUSG00000000411	0.850498470991544	0.576097812414764	0.702666000984617
ENSMUSG00000000420	0.810427350903792	0.878654674981422	0.719341406056485
ENSMUSG00000000435	1	0.593929976651756	0.943435573473323
ENSMUSG00000000439	0.394468183106328	0.28222282370583	0.377430609466473
ENSMUSG00000000440	0.366831933998607	0.426037548067434	0.397948903570326
ENSMUSG00000000489	0.444378631265418	0.455795171871852	0.420667817750297
ENSMUSG00000000531	0.281407164926698	0.213753636218343	0.339239573663789
ENSMUSG00000000532	0.679690543961874	0.69372134820198	0.757055222827162
ENSMUSG00000000544	1	0.940556254117042	0.975625981804641
ENSMUSG00000000552	0.139245538169128	0.16642118874475	0.172664495367169
ENSMUSG00000000555	0.862348674057354	0.776195900156209	0.939370622356102
ENSMUSG00000000560	1.13045642590107e-10	7.02329944687237e-07	1.12178553568355e-09
ENSMUSG00000000562	0.3910515719954	0.554874940515684	0.382664375464761
ENSMUSG00000000567	0.470381435078408	0.435295452878347	0.37852967540309
ENSMUSG00000000568	0.0163960473988207	0.0181606901059722	0.0104479873074465
ENSMUSG00000000594	0.13259431197289	0.0907028109533067	0.0321865978055833
ENSMUSG00000000600	0.369479522553859	0.312908920443858	0.34196426685778
ENSMUSG00000000605	0.738111055985936	0.620235457569888	0.815296006891063
ENSMUSG00000000627	0.314634578048165	0.244671160919437	0.322794223183503
ENSMUSG00000000628	0.00426916558229262	0.01044215743067	0.00195188930348643
ENSMUSG00000000673	0.958901501135815	0.923680950701495	0.899450829896994
ENSMUSG00000000682	0.788835976616688	0.96134785651562	0.720195322656087
ENSMUSG00000000706	1	0.726426822397193	0.981055059825341
ENSMUSG00000000708	0.10609444447375	0.181305559992191	0.105077424284456
ENSMUSG00000000711	0.82482814158014	0.774538370847118	0.861552900779781
ENSMUSG00000000724	0.324429217771255	0.46151653115165	0.592360209252887
ENSMUSG00000000732	0.0525871323311341	0.0611070305097877	0.0581252684800821
ENSMUSG00000000739	0.328454661271545	0.547643047655025	0.803233850475025
ENSMUSG00000000740	1	0.696027849114402	0.91261855601734
ENSMUSG00000000743	0.733699162696094	0.803515739458247	0.812668828605352
ENSMUSG00000000751	0.420791488174528	0.449221440171025	0.387678839634082
ENSMUSG00000000759	0.0825064273665228	0.0546143157114893	0.0440439813516249
ENSMUSG00000000776	0.135875394393365	0.115844918098056	0.0991512557251912
ENSMUSG00000000782	0.0253620050295148	0.0288183196034841	0.0164910572720642
ENSMUSG00000000791	0.798036478530491	0.830580786986274	0.737895426004195
ENSMUSG00000000792	2.53295002036396e-15	7.69550063732376e-09	2.30604929288149e-18
ENSMUSG00000000794	0.426697908754737	0.607157100286233	0.387696012094034
ENSMUSG00000000804	0.774029957043309	0.67596771710344	0.864034188782147
ENSMUSG00000000811	0.825652440497567	0.869003953701679	0.874651134979453
ENSMUSG00000000817	1	0.522938834232445	0.930946796352635
ENSMUSG00000000869	1	0.98394315073061	0.857864052272141
ENSMUSG00000000876	0.825200415167794	0.859414507235517	0.915526427380388
ENSMUSG00000000889	0.441015418346962	0.417624240485447	0.687466365563466
ENSMUSG00000000902	0.168053841968453	0.149030623691212	0.190685887098397
ENSMUSG00000000903	0.937194571987397	0.825597544419988	0.88874981388458
ENSMUSG00000000915	0.344312478848573	0.377627564957838	0.389161337017123
ENSMUSG00000000934	0.078094728747824	0.091569811625863	0.0775605435017624
ENSMUSG00000000948	0.272589316382549	0.235984727371358	0.216990685502236
ENSMUSG00000000957	0.813800063430761	0.979983812623313	0.9246870248154
ENSMUSG00000000958	6.42005854880444e-11	3.36871944359993e-07	3.02815241837658e-11
ENSMUSG00000000959	0.243788771322242	0.208649218327226	0.178676377088569
ENSMUSG00000000982	0.567941866530658	0.947332887262315	0.56622508643053
ENSMUSG00000000983	0.118043914811479	0.0384935957368821	0.112986118889609
ENSMUSG00000001014	0.375226705466763	0.310241470509481	0.3925813486024
ENSMUSG00000001016	0.159240549837248	0.139170679661113	0.0688416876105776
ENSMUSG00000001017	0.919482037119175	0.9435280254734	0.928815374676466
ENSMUSG00000001018	0.0265498653492797	0.0268241836372681	0.0113358621454982
ENSMUSG00000001020	0.702209018406064	0.486105769503309	0.707475337537206
ENSMUSG00000001021	0.817391002152739	0.829314334512456	0.848906809384161
ENSMUSG00000001025	0.0341283144492382	0.0504736807808076	0.0240210078137579
ENSMUSG00000001027	0.498471173932763	0.249138134879147	0.416833166384327
ENSMUSG00000001029	0.221987575547242	0.225695423105726	0.206547428624698
ENSMUSG00000001052	0.109944672602014	0.0646591636846982	0.0343779290818209
ENSMUSG00000001053	0.0952866816325352	0.205233265394515	0.121604487248858
ENSMUSG00000001056	0.311906907697376	0.346634998747621	0.330880085703059
ENSMUSG00000001076	0.455714693977457	0.0868957615560714	0.804827236620653
ENSMUSG00000001098	0.158781931441129	0.129423161443494	0.156520568575382
ENSMUSG00000001103	0.215981965905033	0.244255180028088	0.180518836983098
ENSMUSG00000001105	0.328076214568823	0.35854741262522	0.229432015411693
ENSMUSG00000001120	0.800475632834883	0.873387895392148	0.904092901836097
ENSMUSG00000001123	0.824857146971626	0.674807533755617	0.848153398080266
ENSMUSG00000001128	0.98381208301266	0.968215971957187	0.952497802233508
ENSMUSG00000001131	0.98612947125177	0.804344463444788	0.993779609394123
ENSMUSG00000001134	0.560671457775496	0.141606180338215	0.649767203987755
ENSMUSG00000001150	0.276480064767197	0.172239699768243	0.132713951909925
ENSMUSG00000001151	0.718806210418892	0.709878676573653	0.793797004956563
ENSMUSG00000001155	0.175937109378814	0.399380569311457	0.243421993112617
ENSMUSG00000001156	0.000175288741858723	0.000449739829265924	2.61368496910091e-05
ENSMUSG00000001158	0.28174223734531	0.267201727302454	0.275007760514646
ENSMUSG00000001166	0.93353212165562	0.485178198004886	0.83981472730385
ENSMUSG00000001168	1	0.943078284739898	0.975625981804641
