"gene","seqid","type"
"ENSMUSG00000000001","3","gene"
"ENSMUSG00000000003","X","gene"
"ENSMUSG00000000028","16","gene"
"ENSMUSG00000000031","7","ncRNA_gene"
"ENSMUSG00000000037","X","gene"
"ENSMUSG00000000049","11","gene"
"ENSMUSG00000000056","11","gene"
"ENSMUSG00000000058","6","gene"
"ENSMUSG00000000078","13","gene"
"ENSMUSG00000000085","4","gene"
"ENSMUSG00000000088","9","gene"
"ENSMUSG00000000093","11","gene"
"ENSMUSG00000000094","11","gene"
"ENSMUSG00000000103","Y","gene"
"ENSMUSG00000000120","11","gene"
"ENSMUSG00000000125","11","gene"
"ENSMUSG00000000126","11","gene"
"ENSMUSG00000000127","17","gene"
"ENSMUSG00000000131","7","gene"
"ENSMUSG00000000134","X","gene"
"ENSMUSG00000000142","11","gene"
"ENSMUSG00000000148","5","gene"
"ENSMUSG00000000149","5","gene"
"ENSMUSG00000000154","7","gene"
"ENSMUSG00000000157","16","gene"
"ENSMUSG00000000159","16","gene"
"ENSMUSG00000000167","9","gene"
"ENSMUSG00000000168","9","gene"
"ENSMUSG00000000171","9","gene"
"ENSMUSG00000000182","6","gene"
"ENSMUSG00000000183","6","gene"
"ENSMUSG00000000184","6","gene"
"ENSMUSG00000000194","2","gene"
"ENSMUSG00000000197","14","gene"
"ENSMUSG00000000202","11","gene"
"ENSMUSG00000000204","11","gene"
"ENSMUSG00000000214","7","gene"
"ENSMUSG00000000215","7","gene"
"ENSMUSG00000000216","7","gene"
"ENSMUSG00000000223","X","gene"
"ENSMUSG00000000244","7","gene"
"ENSMUSG00000000247","2","gene"
"ENSMUSG00000000248","6","gene"
"ENSMUSG00000000253","13","gene"
"ENSMUSG00000000263","11","gene"
"ENSMUSG00000000266","X","gene"
"ENSMUSG00000000275","11","gene"
"ENSMUSG00000000276","11","gene"
"ENSMUSG00000000278","11","gene"
"ENSMUSG00000000282","11","gene"
"ENSMUSG00000000290","10","gene"
"ENSMUSG00000000295","10","gene"
"ENSMUSG00000000296","10","gene"
"ENSMUSG00000000301","11","gene"
"ENSMUSG00000000303","8","gene"
"ENSMUSG00000000305","2","gene"
"ENSMUSG00000000308","2","gene"
"ENSMUSG00000000317","11","gene"
"ENSMUSG00000000318","11","gene"
"ENSMUSG00000000320","11","gene"
"ENSMUSG00000000326","16","gene"
"ENSMUSG00000000339","3","gene"
"ENSMUSG00000000340","3","gene"
"ENSMUSG00000000346","15","gene"
"ENSMUSG00000000355","X","gene"
"ENSMUSG00000000359","2","gene"
"ENSMUSG00000000365","14","gene"
"ENSMUSG00000000374","10","gene"
"ENSMUSG00000000378","11","gene"
"ENSMUSG00000000381","11","gene"
"ENSMUSG00000000384","11","gene"
"ENSMUSG00000000385","16","gene"
"ENSMUSG00000000386","16","gene"
"ENSMUSG00000000392","2","gene"
"ENSMUSG00000000394","2","gene"
"ENSMUSG00000000399","6","gene"
"ENSMUSG00000000402","X","gene"
"ENSMUSG00000000409","4","gene"
"ENSMUSG00000000411","4","gene"
"ENSMUSG00000000416","6","gene"
"ENSMUSG00000000420","18","gene"
"ENSMUSG00000000435","10","gene"
"ENSMUSG00000000439","6","gene"
"ENSMUSG00000000440","6","gene"
"ENSMUSG00000000441","6","gene"
"ENSMUSG00000000486","7","gene"
"ENSMUSG00000000489","15","gene"
"ENSMUSG00000000530","15","gene"
"ENSMUSG00000000531","15","gene"
"ENSMUSG00000000532","15","gene"
"ENSMUSG00000000538","11","gene"
"ENSMUSG00000000544","1","gene"
"ENSMUSG00000000552","15","gene"
"ENSMUSG00000000555","15","gene"
"ENSMUSG00000000560","5","gene"
"ENSMUSG00000000561","3","gene"
"ENSMUSG00000000562","3","gene"
"ENSMUSG00000000563","3","gene"
"ENSMUSG00000000567","11","gene"
"ENSMUSG00000000568","5","gene"
"ENSMUSG00000000579","17","gene"
"ENSMUSG00000000581","11","gene"
"ENSMUSG00000000594","11","gene"
"ENSMUSG00000000600","5","gene"
"ENSMUSG00000000605","7","gene"
"ENSMUSG00000000606","14","gene"
"ENSMUSG00000000617","11","gene"
"ENSMUSG00000000627","6","gene"
"ENSMUSG00000000628","6","gene"
"ENSMUSG00000000631","11","gene"
"ENSMUSG00000000632","11","gene"
"ENSMUSG00000000673","17","gene"
"ENSMUSG00000000682","4","gene"
"ENSMUSG00000000686","11","gene"
"ENSMUSG00000000690","11","gene"
"ENSMUSG00000000693","6","gene"
"ENSMUSG00000000701","12","gene"
"ENSMUSG00000000706","13","gene"
"ENSMUSG00000000708","17","gene"
"ENSMUSG00000000711","10","gene"
"ENSMUSG00000000724","11","gene"
"ENSMUSG00000000730","10","gene"
"ENSMUSG00000000731","10","gene"
"ENSMUSG00000000732","10","gene"
"ENSMUSG00000000738","8","gene"
"ENSMUSG00000000739","8","gene"
"ENSMUSG00000000740","8","gene"
"ENSMUSG00000000743","8","gene"
"ENSMUSG00000000751","11","gene"
"ENSMUSG00000000753","11","gene"
"ENSMUSG00000000759","8","gene"
"ENSMUSG00000000766","10","gene"
"ENSMUSG00000000776","14","gene"
"ENSMUSG00000000782","11","gene"
"ENSMUSG00000000787","X","gene"
"ENSMUSG00000000791","8","gene"
"ENSMUSG00000000792","8","gene"
"ENSMUSG00000000794","3","gene"
"ENSMUSG00000000804","11","gene"
"ENSMUSG00000000805","11","gene"
"ENSMUSG00000000811","6","gene"
"ENSMUSG00000000817","1","gene"
"ENSMUSG00000000823","2","gene"
"ENSMUSG00000000826","2","gene"
"ENSMUSG00000000827","2","gene"
"ENSMUSG00000000838","X","gene"
"ENSMUSG00000000861","11","gene"
"ENSMUSG00000000869","11","gene"
"ENSMUSG00000000876","2","gene"
"ENSMUSG00000000881","X","gene"
"ENSMUSG00000000884","16","gene"
"ENSMUSG00000000889","2","gene"
"ENSMUSG00000000901","10","gene"
"ENSMUSG00000000902","10","gene"
"ENSMUSG00000000903","10","gene"
"ENSMUSG00000000915","5","gene"
"ENSMUSG00000000916","5","gene"
"ENSMUSG00000000934","15","gene"
"ENSMUSG00000000938","6","gene"
"ENSMUSG00000000942","6","gene"
"ENSMUSG00000000948","7","gene"
"ENSMUSG00000000957","14","gene"
"ENSMUSG00000000958","14","gene"
"ENSMUSG00000000959","14","gene"
"ENSMUSG00000000976","11","gene"
"ENSMUSG00000000982","11","gene"
"ENSMUSG00000000983","11","gene"
"ENSMUSG00000001014","9","gene"
"ENSMUSG00000001016","3","gene"
"ENSMUSG00000001017","3","gene"
"ENSMUSG00000001018","3","gene"
"ENSMUSG00000001020","3","gene"
"ENSMUSG00000001021","3","gene"
"ENSMUSG00000001023","3","gene"
"ENSMUSG00000001025","3","gene"
"ENSMUSG00000001027","11","gene"
"ENSMUSG00000001029","11","gene"
"ENSMUSG00000001034","11","gene"
"ENSMUSG00000001036","11","gene"
"ENSMUSG00000001039","11","gene"
"ENSMUSG00000001052","3","gene"
"ENSMUSG00000001053","11","gene"
"ENSMUSG00000001054","11","gene"
"ENSMUSG00000001056","11","gene"
"ENSMUSG00000001062","8","gene"
"ENSMUSG00000001065","8","gene"
"ENSMUSG00000001076","15","gene"
"ENSMUSG00000001082","5","gene"
"ENSMUSG00000001089","4","gene"
"ENSMUSG00000001095","11","gene"
"ENSMUSG00000001098","5","gene"
"ENSMUSG00000001100","11","gene"
"ENSMUSG00000001103","11","gene"
"ENSMUSG00000001105","11","gene"
"ENSMUSG00000001119","10","gene"
"ENSMUSG00000001120","10","gene"
"ENSMUSG00000001123","11","gene"
"ENSMUSG00000001127","X","gene"
"ENSMUSG00000001128","X","gene"
"ENSMUSG00000001131","X","gene"
"ENSMUSG00000001134","X","gene"
"ENSMUSG00000001138","1","gene"
"ENSMUSG00000001143","1","gene"
"ENSMUSG00000001150","10","gene"
"ENSMUSG00000001151","10","gene"
"ENSMUSG00000001155","10","gene"
"ENSMUSG00000001156","6","gene"
"ENSMUSG00000001157","6","gene"
"ENSMUSG00000001158","6","gene"
"ENSMUSG00000001166","5","gene"
"ENSMUSG00000001168","5","gene"
"ENSMUSG00000001173","X","gene"
"ENSMUSG00000001175","12","gene"
"ENSMUSG00000001211","10","gene"
"ENSMUSG00000001225","12","gene"
"ENSMUSG00000001227","17","gene"
"ENSMUSG00000001228","17","gene"
"ENSMUSG00000001229","17","gene"
"ENSMUSG00000001240","11","gene"
"ENSMUSG00000001247","7","gene"
"ENSMUSG00000001248","7","gene"
"ENSMUSG00000001249","7","gene"
"ENSMUSG00000001260","5","gene"
"ENSMUSG00000001270","12","gene"
"ENSMUSG00000001280","15","gene"
"ENSMUSG00000001281","15","gene"
"ENSMUSG00000001285","15","gene"
"ENSMUSG00000001288","15","gene"
"ENSMUSG00000001289","15","gene"
"ENSMUSG00000001300","8","gene"
"ENSMUSG00000001305","1","gene"
